Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Viome,8/18/2023,"$86,500,000","$175,000,000",Series C,CVS,https://www.geekwire.com/2023/genomic-testing-startup-viome-closes-86-5m-round-partners-with-cvs-to-sell-at-home-kits/
Workflow Labs,8/18/2023,"$1,300,000","$2,800,000",Seed,,https://www.geekwire.com/2023/startup-helps-amazon-sellers/
Pivotal Commware,8/17/2023,"$102,000,000",,D,Gates Frontier; Tracker Capital,https://pivotalcommware.com/2023/08/17/pivotal-commware-raises-102-million-series-d-round-to-accelerate-mmwave-wireless-fwa-rollout/
Integrate,8/15/2023,"$3,400,000",,,Hyperplane,https://www.geekwire.com/2023/integrate-funding-space-force-firefly/
Membrion,8/11/2023,"$5,500,000","$23,000,000",Series B,Samsung Venture Investment Corp. and Lam Capital ,https://www.businesswire.com/news/home/20230808238080/en/Membrion-Series-B-round-closes-at-12.5M
General Fusion,8/9/2023,"$25,000,000","$330,000,000",,BDC Capital and GIC,https://www.geekwire.com/2023/general-fusion-lands-25m-in-funding-announces-new-plans-for-demo-reactor-in-b-c/
Inrix,8/8/2023,"$70,000,000",,,Morgan Stanley,https://www.geekwire.com/2023/transportation-data-analytics-provider-inrix-lands-70m-from-morgan-stanley/
ConductorOne,8/8/2023,"$12,000,000",,Series A,Felicis,https://venturebeat.com/security/cybersecurity-startup-conductorone-grows-funding-boost-least-privilege-access/
DropZone AI,8/8/2023,"$3,500,000",,Seed,Decibel Partners,https://www.geekwire.com/2023/seattle-startup-dropzone-ai-which-develops-autonomous-ai-security-agents-raises-3-5m/
Wrench,8/7/2023,"$54,200,000",,,,https://www.geekwire.com/2023/mobile-car-repair-startup-wrench-is-raising-more-cash/
Source,8/1/2023,"$8,500,000","$12,200,000",Series A,M13,https://www.geekwire.com/2023/commercial-furniture-and-equipment-procurement-platform-source-snags-8-5m/
Phase Genomics,8/1/2023,"$4,500,000",,Seed,,
Propio,7/27/2023,"$43,000,000","$73,000,000",Series B,,https://www.geekwire.com/2023/fresh-off-fda-milestone-propio-lands-43m-as-it-readies-surgical-navigation-tech/
Augmend ,7/27/2023,"$2,200,000",,Pre-seed,Madrona Venture Labs,https://www.geekwire.com/2023/meta-and-microsoft-vets-land-2-2m-for-startup-building-shared-brain-developer-platform/
Protect Ai,7/26/2023,"$35,000,000","$48,500,000",Series A,Evolution Equity Partners,https://www.geekwire.com/2023/seattle-startup-that-helps-companies-protect-their-machine-learning-code-raises-35m/
A-Alpha Bio,7/25/2023,"$22,400,000","$51,000,000",Series A extension,Perceptive Xontogeny Ventures,https://www.geekwire.com/2023/a-alpha-bio-raises-22-4m-for-protein-discovery-platform-amid-surge-in-biological-data-demand/
Inspectify,7/24/2023,"$5,760,000",,,Fundrise,https://www.geekwire.com/2023/inspectify-which-sells-software-for-property-inspection-services-lands-5-7m/
Chainguard,11/1/2023,"$61,000,000","$116,000,000",Series B,Spark Capital,https://www.geekwire.com/2023/seattle-area-startup-chainguard-raises-61m-to-secure-software-supply-chains/
AdaptX,11/1/2023,"$10,000,000","$20,000,000",,Cercano Management,https://www.geekwire.com/2023/adaptx-raises-10m-to-expand-its-ai-driven-medical-data-analysis/
WiseOx,11/1/2023,"$500,000",,Seed,Cascade Seed Fund,https://www.bizjournals.com/portland/inno/stories/news/2024/01/16/fritz-brumder-wiseox-ai.html
Atana,10/31/2023,"$6,000,000","$16,000,000",A,Byron Group,https://www.geekwire.com/2023/workplace-training-content-provider-media-partners-rebrands-as-atana-and-raises-6m/
Omnidian,10/26/2023,"$25,000,000","$78,000,000",,"Activate Capital, WIND Ventures, Avista Development, Evergy Ventures, National Grid Partners, Congruent Ventures and Blue Bear Capital",https://www.geekwire.com/2023/seattle-startup-omnidian-which-helps-maintain-solar-panels-raises-25m/
Neon,10/26/2023,"$20,000,000",,Series A,Polychain Capital,https://www.geekwire.com/2023/blockchain-based-developer-neon-raises-more-cash-for-its-web3-game-shrapnel/
Direqt,10/26/2023,"$4,500,000",,,,https://www.geekwire.com/2023/tech-vets-nfl-legend-dan-marino-invest-in-seattle-chatbot-startup-direqt/
Skytap,10/19/2023,"$18,000,000",,,Vistara Growth,https://www.geekwire.com/2023/seattle-cloud-company-skytap-lands-18m/
Procurify,10/17/2023,"$50,000,000","$70,000,000",Series C, Ten Coves Capital,https://www.businesswire.com/news/home/20231017726759/en/Procurify-Raises-50M-Series-C-to-Usher-in-the-Next-Era-of-AI-Enhanced-Intelligent-Spend-Management
Hiive,10/17/2023,"$4,200,000","$4,200,000",,Uncorrelated Ventures,https://www.geekwire.com/2023/hiive-which-offers-a-marketplace-to-buy-and-sell-shares-of-private-tech-companies-lands-4-2m/
Aigen,10/13/2023,"$12,000,000",,,ReGen Ventures,https://www.geekwire.com/2023/aigen-a-seattle-startup-that-sells-a-solar-powered-weed-thumping-robot-lands-12m/
Optimize Health,10/12/2023,"$18,600,000",,Series A,Foundry and Escalate Capital Partners ,https://www.geekwire.com/2023/seattle-startup-optimize-health-lands-18-6m-to-boost-remote-care-software/
Operto Guest Technologies,3/20/2023,"$25,000,000",,Series B,Centana Growth Partners,https://www.businesswire.com/news/home/20230320005075/en/Operto-Guest-Technologies-Raises-US25-Million-in-Series-B-Financing-Led-By-Centana-Growth-Partners
Hilos,3/15/2023,"$3,000,000",,,,https://www.geekwire.com/2023/3d-printed-shoe-startup-steps-into-3m-to-help-reduce-carbon-footprints-localize-manufacturing/
Latchel,3/10/2023,,,,Allegion Ventures,https://www.geekwire.com/2023/security-hardware-giant-allegion-backs-latchel-a-platform-to-manage-single-family-rental-properties/
Aiberry,3/8/2023,"$8,000,000",,Seed,Confluence Capital Group,https://www.geekwire.com/2023/startup-developing-an-ai-powered-mental-health-screening-tool-lands-8m/
Archway,2/28/2023,"$15,000,000",,Series A,WaFd Bank and Madrona Venture Group,https://www.geekwire.com/2023/madrona-backs-wafd-bank-spinout-developing-consumer-software-for-regional-banks/
Vouched,2/27/2023,"$6,300,000","$18,000,000",,BHG VC and SpringRock Ventures,https://www.geekwire.com/2023/vouched-an-identity-verification-startup-backed-by-zulily-co-founders-raises-6-3m/
Sentio,2/22/2023,"$6,400,000",,,Lightspeed Venture Partners,https://www.geekwire.com/2023/blockchain-observability-platform-sentio-raises-6-4m/
Kaito,2/22/2023,"$5,300,000",,,DragonFly,https://www.geekwire.com/2023/google-for-crypto-seattle-search-engine-startup-kaito-raises-5-3m/
Lightfox,2/15/2023,"$6,000,000",,,,https://www.geekwire.com/2023/lightfox-the-seattle-based-mobile-game-developer-behind-knights-edge-raises-6m/
Earth Finance,2/12/2023,"$14,000,000","$14,000,000",Seed,,https://www.geekwire.com/2023/former-senator-reuven-carlyle-launches-climate-consulting-and-finance-venture-backed-by-14m/
Abacus Bioscience,2/7/2023,"$4,400,000",,Seed,Washington Research Foundation,https://www.geekwire.com/2023/seagen-vets-land-4-4m-for-univ-of-washington-spinout-using-fresh-approach-for-cancer-vaccines/
Rebellyous Foods,2/3/2023,"$9,500,000","$30,000,000",,,https://www.geekwire.com/2023/plant-based-chicken-startup-rebellyous-foods-raises-9-5m-to-launch-latest-production-tech/
Digs ,2/1/2023,"$7,000,000",,Seed,Fuse and Flying Fish,https://www.geekwire.com/2023/real-estate-startup-vets-land-7m-for-new-construction-project-management-startup/
Whalesync,1/26/2023,"$1,800,000",,Pre-Seed,,https://www.geekwire.com/2023/whalesync-a-seattle-startup-syncing-data-between-software-apps-raises-1-8m/
DevZero,1/24/2023,"$26,000,000",,Series A,Anthos Capital,https://www.geekwire.com/2023/former-uber-engineers-raise-26m-for-devops-startup-devzero/
Smalls,3/28/2023,"$19,000,000","$34,000,000",,Companion Fund,https://www.bizjournals.com/portland/inno/stories/fundings/2023/03/28/portland-founder-smalls-cat-food-companion-fund.html?utm_source=st&utm_medium=en&utm_campaign=inno&ana=e_n&utm_content=po
Fixie,3/30/2023,"$17,000,000",,Seed,Redpoint Ventures,https://www.geekwire.com/2023/google-and-apple-vets-raise-17m-for-fixie-a-large-language-model-startup-based-in-seattle/
Modern Hydrogen,5/11/2023,"$32,800,000","$100,000,000",,NextEra Energy,https://www.geekwire.com/2023/clean-energy-startup-modern-hydrogen-previously-known-as-modern-electron-raises-32-8m/
Genemod,5/5/2023,"$4,500,000","$6,200,000",,Defy.vc and LDV Partners,https://www.geekwire.com/2023/genemod-lands-4-5m-for-life-sciences-data-storage-and-collaboration-platform/
Foundation,5/1/2023,"$3,000,000",,Seed,,https://www.geekwire.com/2023/foundation-a-seattle-based-wholesale-e-commerce-startup-led-by-a-former-staples-exec-lands-3m/
PreAct,4/25/2023,"$6,000,000","$41,000,000",Series B,I Squared Capital,https://www.geekwire.com/2023/preact-which-develops-near-field-sensors-for-automakers-and-robotics-lands-more-cash/
Avalanche Energy,4/24/2023,"$40,000,000","$45,000,000",Series A,Lowercarbon Capital,https://www.geekwire.com/2023/desktop-fusion-startup-avalanche-energy-lands-40m-and-logs-new-tech-achievement/
Rally Commerce,4/20/2023,"$12,000,000","$18,000,000",Series A,March Capital,https://www.businesswire.com/news/home/20230418005079/en/Rally-Raises-12M-in-Series-A-Round-to-Fuel-the-Future-of-Ecommerce-with-its-Next-Generation-Checkout-Platform
Lexion,4/19/2023,"$20,000,000","$35,000,000",Series A,Point72,https://www.geekwire.com/2023/after-tripling-revenue-in-2022-lexion-lands-20m-to-expand-ai-powered-contract-management-software/
Groundlight,4/19/2023,"$10,000,000","$10,000,000",Seed,Madrona Venture Group,https://www.geekwire.com/2023/amazon-and-microsoft-vets-raise-10m-for-computer-vision-startup-used-in-warehouses/
SpecterOps,4/18/2023,"$25,000,000",,Series A,Decibel,https://www.geekwire.com/2023/seattle-startup-specterops-which-helps-companies-detect-cyberattacks-raises-25m/
 Aspect Biosystems,4/12/2023,"$75,000,000",,,Novo Nordisk,geekwire.com/2023/vancouver-b-c-tissue-bioprinting-company-inks-75m-deal-with-novo-nordisk-for-diabetes-obesity/
Roboto,4/6/2023,"$4,800,000",,Seed,Unusual Ventures,https://www.geekwire.com/2023/robotics-data-startup-led-by-former-amazon-drone-engineers-emerges-from-stealth-with-4-8m/
Payscore,4/5/2023,"$2,200,000",,,ff Venture Capital group,https://www.geekwire.com/2023/payscore-a-startup-that-helps-property-managers-and-car-dealerships-verify-income-raises-2-2m/
TipHaus,4/3/2023,"$3,500,000",,,FUSE,https://www.geekwire.com/2023/tiphaus-which-helps-companies-distribute-tips-raises-3-5m-and-launches-banking-tool/
DocNow,3/11/2024,"$2,500,000",,Seed,Waterline Ventures,https://www.geekwire.com/2024/seattle-area-startup-offering-electronic-medical-records-for-long-term-care-raises-cash/
FarmHQ,3/8/2024,"$750,000","$4,000,000",Seed,,https://www.geekwire.com/2024/irrigation-tech-startup-led-by-farming-experts-blossoms-with-revenue-growth-and-new-cash/
PreemptiveAI,3/6/2024,"$6,400,000",,,,https://www.geekwire.com/2024/seattle-health-startup-lands-6-4m-to-build-ai-medical-model-using-smartphone-and-wearable-data/
Enzzo,3/5/2024,"$3,000,000",,Seed,Unlock Venture Partners,https://www.geekwire.com/2024/enzzo-a-psl-spinout-led-by-seattle-startup-vet-raises-3m-to-use-ai-for-hardware-development/
Banyu Carbon,2/29/2024,"$6,500,000","$8,500,000",Seed,,https://www.geekwire.com/2024/oceanography-professors-transform-a-research-tool-into-a-startup-thats-sucking-co2-from-seawater/
Aronora,10/12/2023,,,,NYBC Ventures,https://www.biospace.com/article/releases/aronora-secures-investment-from-new-york-blood-center/
Stoke Space,10/5/2023,"$100,000,000","$175,000,000",Series B,Industrious Ventures,https://www.geekwire.com/2023/stoke-space-fuels-up-with-100m-in-funding-in-quest-to-build-fully-reusable-rockets/
Pulumi,10/3/2023,"$41,000,000","$99,000,000",Series C,Madrona Venture Group,https://www.geekwire.com/2023/cloud-startup-pulumi-raises-41m-from-madrona-nea-to-grow-infrastructure-as-code-platform/
Docket,10/3/2023,"$5,350,000",,,,https://www.geekwire.com/2023/entrepreneur-who-sold-last-startup-to-zoominfo-is-raising-cash-for-new-seattle-ai-startup/
Muir AI,10/3/2023,"$3,250,000","$3,750,000",Seed,Base10 Partners,https://www.geekwire.com/2023/seattle-startup-muir-ai-which-helps-companies-calculate-complex-carbon-emissions-raises-3-25m/
CHEQ,9/30/2023,"$6,200,000",,,,
NorthStar Care,9/29/2023,"$6,000,000",,Seed,Tony Robbins and Starting Line,https://www.geekwire.com/2023/seattle-startup-lands-6m-from-tony-robbins-and-others-to-treat-opioid-and-alcohol-addiction/
Revifi,9/28/2023,"$10,500,000",,Seed, Navin Chaddha,https://www.geekwire.com/2023/seattle-startup-revefi-which-sells-ai-cloud-data-observability-tools-lands-10-5m/
Avalyn Pharma,9/27/2023,"$175,000,000",,Series C,"Perceptive Xontogeny Venture Funds, SR One and Eventide Asset Management ",https://www.globenewswire.com/news-release/2023/09/27/2750197/0/en/Avalyn-Raises-175-Million-in-Oversubscribed-Series-C-Financing-to-Advance-Inhaled-Pulmonary-Fibrosis-Programs-into-Later-Stage-Clinical-Studies.html
PortX,9/27/2023,"$16,500,000","$26,500,000",Series B,Fuse and Curql,https://www.geekwire.com/2023/fintech-startup-portx-raises-16-5m-and-forms-new-subsidiary-to-serve-credit-unions/
Loge Camps,9/27/2023,"$16,000,000",,,DCA Family Office,https://www.bizjournals.com/seattle/news/2023/09/27/loge-camps-north-bend-travel-company-fundraise.html?utm_source=st&utm_medium=en&utm_campaign=ae_nonsub&utm_content=ps&ana=e_ps_ae_nonsub&j=32854039&senddate=2023-09-27&empos=p6
ESS,9/27/2023,"$2,750,000",,,Honeywell,https://www.geekwire.com/2023/honeywell-invests-27-5m-into-oregon-battery-company-ess/
Scaled Foundations,9/27/2023,,,,Khosla Ventures and E14 Fund,https://www.geekwire.com/2023/chatgpt-for-robots-microsoft-vets-lead-new-startup-that-helps-create-instructions-for-machines/
Tidal Vision,9/26/2023,"$20,000,000","$30,000,000",,,https://www.geekwire.com/2023/this-startup-turns-discarded-crab-shells-into-useful-industrial-chemicals/
MotherDuck,9/20/2023,"$52,500,000","$100,000,000",,Felicis,https://www.geekwire.com/2023/seattle-startup-motherduck-raises-52-5m-at-a-400m-valuation-to-fuel-duckdb-analytics-platform/
Cardiac Dimensions,1/6/2023,"$35,000,000",,,Horizon 3 Healthcare,https://www.geekwire.com/2023/cardiac-dimensions-raises-35m-for-device-to-treat-condition-associated-with-heart-failure/
